,open,high,low,close,volume
20220516,67100,67400,66100,66300,11937555
20220513,65300,66700,65200,66500,14551536
20220512,65200,65500,64900,64900,16414188
20220511,65500,66300,65200,65700,12330920
20220510,65900,66300,65300,65700,17235605
20220509,66300,66900,66100,66100,11858736
20220506,67000,67100,66500,66500,14356156
20220504,68000,68400,67500,67900,11505248
20220503,67400,68400,67300,67500,14168875
20220502,66600,67600,66500,67300,14106184
20220429,65100,67600,65000,67400,26190390
20220428,65400,65500,64500,64800,16895527
20220427,65400,65500,64900,65000,18122084
20220426,66400,66700,66100,66100,12946923
20220425,66500,66700,66300,66300,11016474
20220422,67200,67300,66700,67000,11791478
20220421,67600,68300,67500,67700,12847448
20220420,67000,67400,66500,67400,16693293
20220419,67100,68000,67000,67300,12959434
20220418,66500,67100,66100,66700,10119203
20220415,67200,67300,66500,66600,13176415
20220414,68700,68700,67500,67500,16409494
20220413,67300,69000,67200,68700,17378619
20220412,67600,67700,67000,67000,13924389
20220411,67800,68100,67400,67900,12263735
20220408,68100,68300,67700,67800,15453191
20220407,68500,68500,68000,68000,20683327
20220406,68600,68800,68500,68500,15517308
20220405,69400,69600,69100,69200,8467248
20220404,68900,69300,68600,69300,11107905
20220401,69500,69500,69000,69100,15916846
20220331,69900,70200,69600,69600,12510366
20220330,70300,70500,69800,69900,12670187
20220329,70000,70300,69800,70200,13686208
20220328,69500,69900,69200,69700,12619289
20220325,70100,70200,69600,69800,12986010
20220324,69600,70300,69600,69800,37943357
20220323,70600,71200,70300,70500,12398025
20220322,69900,70500,69900,70300,9402666
20220321,70900,71000,69900,69900,11169002
20220318,70600,70900,70200,70700,14410038
20220317,71200,71800,70900,71200,17646315
20220316,70200,70500,69700,70400,10175750
20220315,69800,70100,69500,69500,10258562
20220314,70000,70200,69600,70200,9040993
20220311,70500,70700,69700,70000,15787655
20220310,70800,71200,70500,71200,21159248
20220308,68800,70000,68700,69500,15828269
20220307,70000,70600,69900,70100,18617138
20220304,72700,72700,71200,71500,13409634
20220303,72300,73100,72200,72900,13232638
20220302,72300,72400,71500,71700,12481430
20220228,71100,72100,71000,72100,17781783
20220225,72100,72600,71900,71900,13168484
20220224,72300,72300,71300,71500,15759283
20220223,73800,73800,72800,73000,10397964
20220222,73000,73400,72800,73400,11692469
20220221,73200,74300,72600,74200,10489717
20220218,74600,74800,73700,74300,10122226
20220217,75000,75600,74500,75000,13605382
20220216,74600,74900,74200,74800,10767386
20220215,74100,74200,73100,73700,9320365
20220214,74400,74500,73100,73700,13993255
20220211,75000,75500,74600,74900,12205407
20220210,75600,75800,74700,75400,17746033
20220209,74300,74700,74000,74700,9699122
20220208,73800,74200,73000,73500,11736666
20220207,73500,73600,72400,73000,14240838
20220204,74300,74600,73400,74000,12730034
20220203,74900,74900,73300,73300,17744721
20220128,71300,73700,71200,73300,21367447
20220127,73800,74000,71300,71300,22274777
20220126,73900,74400,73100,73300,12976730
20220125,74800,75000,73200,74000,17766704
20220124,75400,75800,74700,75100,13691134
20220121,75800,75800,74700,75600,15774888
20220120,76200,76700,75900,76500,9708168
20220119,76500,76900,76100,76300,10598290
20220118,77600,77800,76600,77000,9592788
20220117,77600,77800,76900,77500,8785122
20220114,77700,78100,77100,77300,10096725
20220113,79300,79300,77900,77900,13889401
20220112,79500,79600,78600,78900,11000502
20220111,78400,79000,78000,78900,13221123
20220110,78100,78100,77100,78000,9947422
20220107,78100,78400,77400,78300,15163757
20220106,76700,77600,76600,76900,12931954
20220105,78800,79000,76400,77400,25470640
20220104,78800,79200,78300,78700,12427416
20220103,79400,79800,78200,78600,13502112
20211230,78900,79500,78100,78300,14236700
20211229,80200,80200,78500,78800,19794795
20211228,80200,80400,79700,80300,18226325
20211227,80600,80600,79800,80200,10783368
20211224,80200,80800,80200,80500,12086380
20211223,79800,80000,79300,79900,13577498
20211222,78900,79400,78800,79400,17105892
20211221,77900,78300,77500,78100,14245298
20211220,77600,77800,76800,77100,11264375
20211217,76800,78000,76800,78000,13108479
20211216,78500,78500,77400,77800,11996128
20211215,76400,77600,76300,77600,9584939
20211214,76500,77200,76200,77000,10976660
20211213,77200,78300,76500,76800,15038750
20211210,77400,77600,76800,76900,9155219
20211209,77400,78200,77000,78200,21604528
20211208,78300,78600,77100,77400,21558340
20211207,76100,77700,75600,77400,19232453
20211206,75100,76700,74900,76300,16391250
20211203,75600,76000,74100,75600,18330240
20211202,73900,75800,73800,75800,23652940
20211201,72000,74800,71600,74400,21954856
20211130,73200,73900,70500,71300,30364841
20211129,71700,73000,71400,72300,16682559
20211126,73500,74100,72000,72300,13002242
20211125,75100,75100,73600,73700,12559258
20211124,76000,76200,74100,74800,15652305
20211123,76000,76000,74500,75300,22029195
20211122,73300,75200,73000,74900,27506623
20211119,70400,71400,70100,71200,11954728
20211118,70700,71000,70200,70200,10144957
20211117,71300,71600,70600,70700,11027606
20211116,71500,72000,71300,71300,10919239
20211115,71700,71900,70900,71400,12420710
20211112,70200,70900,69900,70600,10087450
20211111,69900,70000,69600,69900,11489122
20211110,70300,70900,70200,70200,9422009
20211109,70300,71000,70100,70500,11159589
20211108,70400,70600,69800,70600,11121981
20211105,71600,71600,70200,70200,12667743
20211104,71200,71600,70500,70600,11818987
20211103,71700,71700,70100,70400,12770428
20211102,70800,72200,70700,71500,16812570
20211101,70200,70600,69900,69900,11503729
20211029,71200,71600,69700,69800,17016151
20211028,69500,72200,69500,70700,20644902
20211027,71000,71000,70000,70100,10295316
20211026,70600,71500,70400,71100,10528252
20211025,69900,70600,69500,70200,10029621
20211022,70000,70700,70000,70400,8395448
20211021,70300,70600,70000,70200,10891094
20211020,70700,71000,70200,70300,10151638
20211019,70800,71000,70400,70600,9507991
20211018,70200,70300,69200,70200,13486391
20211015,70200,71000,70000,70100,18051612
20211014,69000,69800,68800,69400,19520641
20211013,68700,69600,68300,68800,24172015
20211012,70700,70900,68700,69000,31001484
20211008,72300,72400,71500,71500,14043287
20211007,71600,72100,71300,71600,13683532
20211006,72600,72800,71200,71300,18956962
20211005,73000,73000,71400,72200,24013921
20211001,73900,74000,72900,73200,15803395
20210930,74300,74800,73700,74100,19919361
20210929,74800,75300,73800,74100,23992458
20210928,77700,77800,76200,76300,15406382
20210927,77300,77700,77000,77700,11699798
20210924,77600,77700,77100,77300,12247274
