,open,high,low,close,volume
20220516,58000,58000,57000,57200,11116
20220513,57000,57900,56600,57500,14665
20220512,56900,57400,56500,56600,28071
20220511,57000,58300,57000,57700,16394
20220510,56900,57600,56400,57000,25686
20220509,58000,58300,56200,56900,35164
20220506,58600,58600,58000,58200,19593
20220504,59700,59900,58900,59000,17932
20220503,59800,60200,59600,60000,8811
20220502,59700,60300,59400,60000,15649
20220429,59500,60500,59400,60400,18189
20220428,59200,59800,58700,59800,14397
20220427,60300,60400,59100,59300,16881
20220426,60200,60800,60100,60700,14521
20220425,59600,60700,59300,60300,34494
20220422,59800,60600,59400,60200,36632
20220421,59400,60100,59000,60000,19328
20220420,58900,59300,58500,59000,13711
20220419,59300,59300,58700,59100,12393
20220418,58200,59300,58000,59100,14849
20220415,59000,59400,58000,58300,41040
20220414,59100,59500,58600,59500,19412
20220413,59000,59500,58600,59100,6531
20220412,59100,59400,58600,58600,18126
20220411,59100,59800,58800,59400,7816
20220408,59400,59500,58800,59100,8751
20220407,59700,59800,59100,59200,17449
20220406,60400,60600,59800,60100,12845
20220405,60200,60600,60100,60400,11992
20220404,59900,60400,59700,60300,9012
20220401,59900,60600,59600,59900,15889
20220331,59600,60600,59500,60200,17587
20220330,60300,60500,59500,59600,14957
20220329,60600,60600,59700,60300,10065
20220328,59000,60500,58800,60500,25286
20220325,58900,59500,58500,59000,17537
20220324,59100,59300,58700,58900,9714
20220323,59000,59700,58800,59500,10346
20220322,59200,59400,58600,58700,15725
20220321,59300,59400,58800,58800,9550
20220318,58800,59100,58300,59000,10778
20220317,59400,59500,58600,58700,13325
20220316,57800,58700,57700,58600,10562
20220315,57600,57900,57400,57500,14606
20220314,58500,58900,57700,58000,9187
20220311,58800,58900,58200,58400,16754
20220310,58800,59400,58000,59400,15928
20220308,58000,58200,57300,57500,11557
20220307,58200,58500,57800,58100,13149
20220304,58800,59000,58200,58500,8016
20220303,58200,59100,58200,58800,10239
20220302,58300,59100,58000,58000,16173
20220228,58400,58800,58100,58300,12030
20220225,58600,58900,58200,58900,10614
20220224,59100,59100,57800,58200,32965
20220223,59800,59900,58900,59700,12510
20220222,59500,59700,59000,59000,16011
20220221,59700,60400,59500,60400,11472
20220218,59300,60200,59200,59800,7637
20220217,59800,60600,59600,59800,18373
20220216,59500,60100,59300,59800,18731
20220215,60600,60600,59100,59400,13092
20220214,61100,61300,59900,60100,10234
20220211,61600,61600,60900,61100,11777
20220210,62800,63000,61800,61800,12159
20220209,62500,63000,62000,62800,14661
20220208,62900,63800,61800,62500,13535
20220207,61500,62800,60200,62600,18981
20220204,60900,62500,60800,61500,12808
20220203,60900,62700,60300,61800,14849
20220128,58600,60300,58400,60300,11101
20220127,60500,61200,58500,58500,22553
20220126,60800,61900,60500,60900,6639
20220125,61600,62400,60400,60800,21903
20220124,61800,63400,60700,61500,14693
