,open,high,low,close,volume
20220531,839000,847000,831000,847000,76864
20220530,835000,844000,830000,843000,34264
20220527,837000,843000,829000,834000,32396
20220526,826000,843000,826000,840000,58955
20220525,813000,840000,811000,831000,94179
20220524,810000,820000,804000,808000,37925
20220523,808000,820000,803000,819000,34569
20220520,799000,811000,795000,808000,38873
20220519,781000,798000,778000,796000,42562
20220518,769000,793000,768000,793000,46566
20220517,770000,777000,765000,766000,42209
20220516,789000,790000,770000,770000,43738
20220513,794000,795000,775000,785000,63186
20220512,790000,800000,781000,788000,50875
20220511,793000,798000,790000,793000,29860
20220510,801000,808000,792000,798000,52666
20220509,795000,800000,791000,798000,36444
20220506,804000,809000,794000,794000,52249
20220504,833000,837000,806000,815000,43678
20220503,839000,844000,831000,832000,34633
20220502,829000,839000,829000,838000,27315
20220429,827000,839000,827000,838000,64323
20220428,820000,835000,812000,835000,98611
20220427,793000,814000,791000,810000,35379
20220426,796000,818000,796000,804000,56631
20220425,791000,800000,791000,793000,27420
20220422,804000,805000,796000,801000,38163
20220421,813000,814000,806000,806000,23476
20220420,826000,826000,805000,805000,44188
20220419,833000,835000,824000,825000,34139
20220418,827000,835000,822000,832000,29124
20220415,830000,851000,822000,835000,57478
20220414,809000,842000,806000,839000,111394
20220413,794000,810000,787000,808000,44448
20220412,795000,804000,782000,790000,42326
20220411,801000,813000,797000,801000,31885
20220408,812000,817000,800000,809000,36035
20220407,808000,821000,808000,810000,48246
20220406,809000,823000,807000,813000,51140
20220405,815000,821000,811000,813000,38306
20220404,810000,819000,803000,816000,46595
20220401,825000,825000,815000,820000,45194
20220331,836000,840000,826000,827000,59199
20220330,832000,848000,829000,844000,50145
20220329,827000,828000,820000,828000,32949
20220328,810000,824000,810000,823000,31750
20220325,821000,824000,811000,819000,43776
20220324,830000,835000,814000,824000,45561
20220323,836000,844000,831000,835000,39884
20220322,830000,837000,815000,836000,33607
20220321,829000,837000,827000,829000,49535
20220318,816000,830000,816000,828000,51227
20220317,834000,840000,813000,815000,63072
20220316,822000,827000,812000,826000,54051
20220315,800000,815000,793000,811000,58260
20220314,783000,799000,778000,799000,51580
20220311,785000,799000,780000,787000,39856
20220310,784000,795000,775000,793000,84286
20220308,760000,777000,753000,769000,38676
20220307,764000,770000,755000,764000,39433
20220304,788000,794000,770000,775000,42743
20220303,768000,788000,763000,787000,45302
20220302,789000,794000,762000,768000,63797
20220228,757000,779000,747000,779000,63114
20220225,751108,762968,749131,760003,57155
20220224,756050,757038,741225,751108,41599
20220223,770874,775816,760003,760003,36801
20220222,747155,768897,746167,765933,53518
20220221,736284,760991,734307,758026,33523
20220218,737272,750120,736284,748143,38625
20220217,755061,765933,736284,751108,52108
20220216,742213,757038,737272,748143,44896
20220215,756050,761979,726401,731342,57677
20220214,733319,764944,730354,754073,60609
20220211,753085,753085,736284,745178,62422
20220210,764944,771862,761979,766921,51955
20220209,782734,790640,761979,763956,75014
20220208,770874,830172,762968,790640,173657
20220207,757038,759014,738260,754073,47312
20220204,752096,770874,751108,760003,42209
20220203,741225,775816,736284,762968,97154
20220128,690822,741225,684892,730354,172096
20220127,748143,749131,703670,703670,167769
20220126,772851,774827,748143,748143,98599
20220125,803488,805465,770874,770874,105050
20220124,803488,810406,796570,801511,40919
20220121,801511,820289,800523,808429,38744
20220120,810406,812383,800523,806453,38011
20220119,791628,816336,790640,806453,48571
20220118,816336,821277,795582,796570,96807
20220117,828195,840055,812383,816336,71940
20220114,848950,851915,833137,840055,49807
20220113,844997,854880,835114,854880,62504
20220112,832149,851915,828195,846973,66082
20220111,823254,834125,823254,823254,41666
20220110,843020,843020,824242,826219,49426
20220107,828195,840055,828195,834125,73039
