,open,high,low,close,volume
20220531,23300,23650,23250,23350,2524026
20220530,23850,23950,23300,23300,1656444
20220527,23600,23900,23500,23800,1167137
20220526,23800,24000,23650,23800,1940810
20220525,23650,23750,23300,23600,1849747
20220524,22950,23900,22900,23500,5767851
20220523,22850,22900,22550,22700,609516
20220520,22650,22850,22500,22750,1169092
20220519,22200,22800,22150,22500,1529199
20220518,22850,22850,22400,22550,1060406
20220517,22650,22850,22550,22750,1374837
20220516,22650,22700,22350,22650,1213337
20220513,22300,22750,22200,22650,1465629
20220512,22100,22500,22050,22250,1739919
20220511,22350,22550,22050,22100,1501002
20220510,22500,23100,22400,22600,2432111
20220509,22900,23300,22500,22600,1894610
20220506,22750,23150,22550,22850,1541536
20220504,22300,23200,22250,22950,3530400
20220503,22450,22700,22050,22150,1417375
20220502,22800,22900,22350,22450,1675693
20220429,22900,23200,22500,23100,3734896
20220428,21100,22850,21000,22850,4564319
20220427,21100,21300,21000,21050,1137850
20220426,21250,21400,21200,21350,677273
20220425,21250,21450,21200,21200,955650
20220422,21550,21650,21450,21450,925472
20220421,21400,21700,21350,21700,1165018
20220420,21750,21750,21300,21300,1954164
20220419,21850,21900,21700,21700,1073335
20220418,21750,22050,21500,21850,832346
20220415,21900,22000,21700,21750,1031359
20220414,22100,22250,21900,21900,1440492
20220413,21750,22150,21700,22100,944961
20220412,21750,22000,21600,21600,1231184
20220411,21950,22000,21650,21900,1226156
20220408,22100,22200,22000,22050,1169553
20220407,22650,22700,22000,22000,2653902
20220406,22950,23100,22700,22750,1444912
20220405,23100,23200,22900,23000,907290
20220404,23000,23300,22950,23250,1483290
20220401,22800,23200,22800,22950,2050489
20220331,22700,22800,22600,22650,1418439
20220330,22550,22850,22550,22700,1420687
20220329,23000,23000,22550,22550,2965834
20220328,22950,23350,22800,23200,1277510
20220325,23100,23100,22800,23050,1235465
20220324,23000,23450,22850,23050,1722081
20220323,23100,23200,22900,23100,1391015
20220322,22800,23200,22800,23050,1790985
20220321,23600,23700,22750,22800,4683016
20220318,24100,24150,23850,24000,2384834
20220317,24600,24650,24050,24250,2870497
20220316,24750,24750,24300,24650,1837199
20220315,24450,24700,24150,24500,1747505
20220314,24800,25100,24400,24550,3236389
20220311,24400,24900,23900,24750,3853185
20220310,24700,24800,24000,24400,6439313
20220308,22950,23800,22700,23500,2536642
20220307,23750,24000,23150,23350,2532895
20220304,24050,24250,23800,24000,2142944
20220303,23450,24350,23300,24100,5832722
20220302,23250,23550,23000,23150,2804310
20220228,22700,23400,22600,23200,7754604
20220225,22300,22350,21750,21800,2221135
20220224,22200,22500,21950,22300,1611073
20220223,22450,22550,22250,22400,788222
20220222,22400,22550,22150,22450,1196419
20220221,22400,22750,22200,22600,1438599
20220218,21950,22750,21900,22600,1723932
20220217,22400,22450,21900,22150,1405121
20220216,21900,22450,21850,22400,1247493
20220215,22200,22300,21600,21750,1372398
20220214,22250,22350,21950,22200,1298876
20220211,22650,22750,22300,22500,1654337
20220210,22200,22950,22050,22950,1996013
20220209,22350,22400,21950,22200,1351941
20220208,21950,22450,21900,22250,2395019
20220207,21650,21950,21500,21900,2156846
20220204,20900,21450,20900,21400,941008
